
acheter Présent,j'achète,tu achètes,il achète,nous achetons,vous achetez,ils achètent
acheter Passé Composé,j'ai acheté,tu as acheté,il a acheté,nous avons acheté,vous avez acheté,ils ont acheté
acheter Imparfait,j'achetais,tu achetais,il achetait,nous achetions,vous achetiez,ils achetaient
acheter Plus-que-parfait,j'avais acheté,tu avais acheté,il avait acheté,nous avions acheté,vous aviez acheté,ils avaient acheté
acheter Futur Simple,j'achèterai,tu achèteras,il achètera,nous achèterons,vous achèterez,ils achèteront
acheter Futur Antérieur,j'aurai acheté,tu auras acheté,il aura acheté,nous aurons acheté,vous aurez acheté,ils auront acheté
acheter Conditionnel Présent,j'achèterais,tu achèterais,il achèterait,nous achèterions,vous achèteriez,ils achèteraient
acheter Conditionnel Passé,j'aurais acheté,tu aurais acheté,il aurait acheté,nous aurions acheté,vous auriez acheté,ils auraient acheté
acheter Subjonctif Présent,que j'achète,que tu achètes,qu'il achète,que nous achetions,que vous achetiez,qu'ils achètent
acheter Subjonctif Passé,que j'aie acheté,que tu aies acheté,qu'il ait acheté,que nous ayons acheté,que vous ayez acheté,qu'ils aient acheté
acheter Subjonctif Imparfait,que j'achetasse,que tu achetasses,qu'il achetât,que nous achetassions,que vous achetassiez,qu'ils achetassent
acheter Subjonctif Plus-que-parfait,que j'eusse acheté,que tu eusses acheté,qu'il eût acheté,que nous eussions acheté,que vous eussiez acheté,qu'ils eussent acheté
acheter Passé simple,j'achetai,tu achetas,il acheta,nous achetâmes,vous achetâtes,ils achetèrent
acheter Passé Antérieur,j'eus acheté,tu eus acheté,il eut acheté,nous eûmes acheté,vous eûtes acheté,ils eurent acheté
acheter Impératif Présent,,tu achète,,nous achetons,vous achetez,
acheter Infinitif Présent,j'acheter,tu acheter,il acheter,nous acheter,vous acheter,ils acheter
acheter Participe Présent,j'achetant,tu achetant,il achetant,nous achetant,vous achetant,ils achetant
acheter Participe Passé,j'acheté,tu acheté,il acheté,nous acheté,vous acheté,ils acheté

geler Présent,je gèle,tu gèles,il gèle,nous gelons,vous gelez,ils gèlent
