         PRESENTE                        IMPERFETTO                     FUTURO SEMPLICE
sono,sei,é,siamo,siete,siono ero,eri,era,eravamo,eravate,eranon sarò,sarai,sarà,saremo,sarete,saranno
vado,vai,va,andiamo,andate,vanno andavo,andavi,andava,andavamo,andavate,andavano andrò,andrai,andrà,andremo,andrete,andranno
cado,cadi,cade,cadiamo,cadete,cadono cadevo,cadevi,cadeva,cadevamo,cadevate,cadevano cadrò,cadrai,cadrà,cadremo,cadrete,cadranno
invio,invii,invia,inviamo,inviate,inviano inviavo,inviavi,inviava,inviavamo,inviavate,inviavano invierò,invierai,invierà,invieremo,invierete,invieranno
risulto,risulti,risulta,risultiamo,risultate,risultano risultavo,risultavi,risultava,risultavamo,risultavate,risultavano risulterò,risulterai,risulterà,risulteremo,risulterete,risulteranno
colloco,collochi,colloca,collochiamo,collocate,collocano collocavo,collocavi,collocava,collocavamo,collocavate,collocavano collocherò,collocherai,collocherà,collocheremo,collocherete,collocheranno
getto,getti,getta,gettiamo,gettate,gettano gettavo,gettavi,gettava,gettavamo,gettavate,gettavano getterò,getterai,getterà,getteremo,getterete,getteranno
peso,pesi,pesa,pesiamo,pesate,pesano pesavo,pesavi,pesava,pesavamo,pesavate,pesavano peserò,peserai,peserà,peseremo,peserete,peseranno
celebro,celebri,celebra,celebriamo,celebrate,celebrano celebravo,celebravi,celebrava,celebravamo,celebravate,celebravano celebrerò,celebrerai,celebrerà,celebreremo,celebrerete,celebreranno
cedo,cedi,cede,cediamo,cedete,cedono cedevo,cedevi,cedeva,cedevamo,cedevate,cedevano cederò,cederai,cederà,cederemo,cederete,cederanno
regolo,regoli,regola,regoliamo,regolate,regolano regolavo,regolavi,regolava,regolavamo,regolavate,regolavano regolerò,regolerai,regolerà,regoleremo,regolerete,regoleranno
proteggo,proteggi,protegge,proteggiamo,proteggete,proteggono proteggevo,proteggevi,proteggeva,proteggevamo,proteggevate,proteggevano proteggerò,proteggerai,proteggerà,proteggeremo,proteggerete,proteggeranno
mangio,mangi,mangia,mangiamo,mangiate,mangiano mangiavo,mangiavi,mangiava,mangiavamo,mangiavate,mangiavano mangerò,mangerai,mangerà,mangeremo,mangerete,mangeranno
parlo,parli,parla,parliamo,parlate,parlano parlavo,parlavi,parlava,parlavamo,parlavate,parlavano parlerò,parlerai,parlerà,parleremo,parlerete,parleranno
asservisco,asservisci,asservisce,asserviamo,asservite,asserviscono asservivo,asservivi,asserviva,asservivamo,asservivate,asservivano asservirò,asservirai,asservirà,asserviremo,asservirete,asserviranno
mento,menti,mente,mentiamo,mentite,mentono mentivo,mentivi,mentiva,mentivamo,mentivate,mentivano mentirò,mentirai,mentirà,mentiremo,mentirete,mentiranno
muoio,muori,muore,moriamo,morite,muoiono morivo,morivi,moriva,morivamo,morivate,morivano morirò,morirai,morirà,moriremo,morirete,moriranno
scommetto,scommetti,scommette,scommettiamo,scommettete,scommettono scommettevo,scommettevi,scommetteva,scommettevamo,scommettevate,scommettevano scommetterò,scommetterai,scommetterà,scommetteremo,scommetterete,scommetteranno
posso,puoi,può,possiamo,potete,possono potevo,potevi,poteva,potevamo,potevate,potevano potrò,potrai,potrà,potremo,potrete,potranno
prevedo,prevedi,prevede,prevediamo,prevedete,prevedono prevedevo,prevedevi,prevedeva,prevedevamo,prevedevate,prevedevano prevederò,prevederai,prevederà,prevederemo,prevederete,prevederanno
esco,esci,esce,usciamo,uscite,escono uscivo,uscivi,usciva,uscivamo,uscivate,uscivano uscirò,uscirai,uscirà,usciremo,uscirete,usciranno
vesto,vesti,veste,vestiamo,vestite,vestono vestivo,vestivi,vestiva,vestivamo,vestivate,vestivano vestirò,vestirai,vestirà,vestiremo,vestirete,vestiranno
siedo,siedi,siede,sediamo,sedete,siedono sedevo,sedevi,sedeva,sedevamo,sedevate,sedevano sederò, siederò,sederai,sederà,sederemo,sederete,sederanno
bollo,bolli,bolle,bolliamo,bollite,bollono bollivo,bollivi,bolliva,bollivamo,bollivate,bollivano bollirò,bollirai,bollirà,bolliremo,bollirete,bolliranno
ricevo,ricevi,riceve,riceviamo,ricevete,ricevono ricevevo,ricevevi,riceveva,ricevevamo,ricevevate,ricevevano riceverò,riceverai,riceverà,riceveremo,riceverete,riceveranno
corro,corri,corre,corriamo,correte,corrono correvo,correvi,correva,correvamo,correvate,correvano correrò,correrai,correrà,correremo,correrete,correranno
devo,debbo,devi,deve,dobbiamo,dovete,devono dovevo,dovevi,doveva,dovevamo,dovevate,dovevano dovrò,dovrai,dovrà,dovremo,dovrete,dovranno
addormento,addormenti,addormenta,addormentiamo,addormentate,addormentano addormentavo,addormentavi,addormentava,addormentavamo,addormentavate,addormentavano addormenterò,addormenterai,addormenterà,addormenteremo,addormenterete,addormenteranno
dormo,dormi,dorme,dormiamo,dormite,dormono dormivo,dormivi,dormiva,dormivamo,dormivate,dormivano dormirò,dormirai,dormirà,dormiremo,dormirete,dormiranno
fuggo,fuggi,fugge,fuggiamo,fuggite,fuggono fuggivo,fuggivi,fuggiva,fuggivamo,fuggivate,fuggivano fuggirò,fuggirai,fuggirà,fuggiremo,fuggirete,fuggiranno
odio,odi,odia,odiamo,odiate,odiano odiavo,odiavi,odiava,odiavamo,odiavate,odiavano odierò,odierai,odierà,odieremo,odierete,odieranno
prometto,prometti,promette,promettiamo,promettete,promettono promettevo,promettevi,prometteva,promettevamo,promettevate,promettevano prometterò,prometterai,prometterà,prometteremo,prometterete,prometteranno
apro,apri,apre,apriamo,aprite,aprono aprivo,aprivi,apriva,aprivamo,aprivate,aprivano aprirò,aprirai,aprirà,apriremo,aprirete,apriranno
conosco,conosci,conosce,conosciamo,conoscete,conoscono conoscevo,conoscevi,conosceva,conoscevamo,conoscevate,conoscevano conoscerò,conoscerai,conoscerà,conosceremo,conoscerete,conosceranno
servo,servi,serve,serviamo,servite,servono servivo,servivi,serviva,servivamo,servivate,servivano servirò,servirai,servirà,serviremo,servirete,serviranno
valgo,vali,vale,valiamo,valete,valgono valevo,valevi,valeva,valevamo,valevate,valevano varrò,varrai,varrà,varremo,varrete,varranno
vengo,vieni,viene,veniamo,venite,vengono venivo,venivi,veniva,venivamo,venivate,venivano verrò,verrai,verrà,verremo,verrete,verranno
voglio,vuoi,vuole,vogliamo,volete,vogliono volevo,volevi,voleva,volevamo,volevate,volevano vorrò,vorrai,vorrà,vorremo,vorrete,vorranno
vedo,vedi,vede,vediamo,vedete,vedono vedevo,vedevi,vedeva,vedevamo,vedevate,vedevano vedrò,vedrai,vedrà,vedremo,vedrete,vedranno
finisco,finisci,finisce,finiamo,finite,finiscono finivo,finivi,finiva,finivamo,finivate,finivano finirò,finirai,finirà,finiremo,finirete,finiranno
includo,includi,include,includiamo,includete,includono includevo,includevi,includeva,includevamo,includevate,includevano includerò,includerai,includerà,includeremo,includerete,includeranno
pago,paghi,paga,paghiamo,pagate,pagano pagavo,pagavi,pagava,pagavamo,pagavate,pagavano pagherò,pagherai,pagherà,pagheremo,pagherete,pagheranno
risolvo,risolvi,risolve,risolviamo,risolvete,risolvono risolvevo,risolvevi,risolveva,risolvevamo,risolvevate,risolvevano risolverò,risolverai,risolverà,risolveremo,risolverete,risolveranno
basto,basti,basta,bastiamo,bastate,bastano bastavo,bastavi,bastava,bastavamo,bastavate,bastavano basterò,basterai,basterà,basteremo,basterete,basteranno
taccio,taci,tace,tacciamo,tacete,tacciono tacevo,tacevi,taceva,tacevamo,tacevate,tacevano tacerò,tacerai,tacerà,taceremo,tacerete,taceranno
batto,batti,batte,battiamo,battete,battono battevo,battevi,batteva,battevamo,battevate,battevano batterò,batterai,batterà,batteremo,batterete,batteranno
