estou,estás,está,estamos,estais,estão estava,estavas,estava,estávamos,estáveis,estavam estarei,estarás,estará,estaremos,estareis,estarão
sou,es,é,somos,sois,são era,eras,era,éramos,éreis,eram serei,serás,será,seremos,sereis,serão
tenho,tens,tem,temos,tendes,têm tinha,tinhas,tinha,tínhamos,tínheis,tinham terei,terás,terá,teremos,tereis,terão
vou,vais,vai,vamos,ides,vão ia,ias,ia,íamos,íeis,iam  irei,irás,irá,iremos,ireis,irão
outono,outonas,outona,outonamos,outonais,outonam outonava,outonavas,outonava,outonávamos,outonáveis,outonavam enviari,enviarás,enviará,enviaremos,enviareis,enviarão
envio,envias,envia,enviamos,enviais,enviam enviava,enviavas,enviava,enviávamos,enviáveis,enviavam enviarei,enviarás,enviará,enviaremos,enviareis,enviarão
coloco,colocas,coloca,colocamos,colocais,colocam colocava,colocavas,colocava,colocávamos,colocáveis,colocavam colocarei,colocarás,colocará,colocaremos,colocareis,colocarão
peso,pesas,pesa,pesamos,pesais,pesam pesava,pesavas,pesava,pesávamos,pesáveis,pesavam pesarei,pesarás,pesará,pesaremos,pesareis,pesarão
celebro,celebras,celebra,celebramos,celebrais,celebram celebrava,celebravas,celebrava,celebrávamos,celebráveis,celebravam celebrarei,celebrarás,celebrará,celebraremos,celebrareis,celebrarão
regulo,regulas,regula,regulamos,regulais,regulam regulava,regulavas,regulava,regulávamos,reguláveis,regulavam regularei,regularás,regulará,regularemos,regulareis,regularão
protejo,proteges,protege,protegemos,protegeis,protegem protegia,protegias,protegia,protegíamos,protegíeis,protegiam protegerei,protegerás,protegerá,protegeremos,protegereis,protegerão
como,comes,come,comemos,comeis,comem comia,comias,comia,comíamos,comíeis,comiam comerei,comerás,comerá,comeremos,comereis,comerão
falo,falas,fala,falamos,falais,falam falava,falavas,falava,falávamos,faláveis,falavam falarei,falarás,falará,falaremos,falareis,falarão
subjugo,subjugas,subjuga,subjugamos,subjugais,subjugam subjugava,subjugavas,subjugava,subjugávamos,subjugáveis,subjugavam subjugarei,subjugarás,subjugará,subjugaremos,subjugareis,subjugarão
minto,mentes,mente,mentimos,mentis,mentem mentia,mentias,mentia,mentíamos,mentíeis,mentiam mentirei,mentirás,mentirá,mentiremos,mentireis,mentirão
morro,morres,morre,morremos,morreis,morrem morria,morrias,morria,morríamos,morríeis,morriam morrerei,morrerás,morrerá,morreremos,morrereis,morrerão
posso,podes,pode,podemos,podeis,podem podia,podias,podia,podíamos,podíeis,podiam poderei,poderás,poderá,poderemos,podereis,poderão
prevejo,prevês,prevê,prevemos,prevedes,preveem previa,previas,previa,prevíamos,prevíeis,previam preverei,preverás,preverá,preveremos,prevereis,preverão
saio,sais,sai,saímos,saís,saem saía,saías,saía,saíamos,saíeis,saíam sairei,sairás,sairá,sairemos,saireis,sairão
visto,vestes,veste,vestimos,vestis,vestem vestia,vestias,vestia,vestíamos,vestíeis,vestiam vestirei,vestirás,vestirá,vestiremos,vestireis,vestirão
sento,sentas,senta,sentamos,sentais,sentam sentava,sentavas,sentava,sentávamos,sentáveis,sentavam sentarei,sentarás,sentará,sentaremos,sentareis,sentarão
fervo,ferves,ferve,fervemos,ferveis,fervem fervia,fervias,fervia,fervíamos,fervíeis,ferviam ferverei,ferverás,ferverá,ferveremos,fervereis,ferverão
recebo,recebes,recebe,recebemos,recebeis,recebem recebia,recebias,recebia,recebíamos,recebíeis,recebiam receberei,receberás,receberá,receberemos,recebereis,receberão
corro,corres,corre,corremos,correis,correm corria,corrias,corria,corríamos,corríeis,corriam correrei,correrás,correrá,correremos,correreis,correrão
coleto,coletas,coleta,coletamos,coletais,coletam coletava,coletavas,coletava,coletávamos,coletáveis,coletavam coletarei,coletarás,coletará,coletaremos,coletareis,coletarão
devo,deves,deve,devemos,deveis,devem devia,devias,devia,devíamos,devíeis,deviam deverei,deverás,deverá,deveremos,devereis,deverão
adormeço,adormeces,adormece,adormecemos,adormeceis,adormecem adormecia,adormecias,adormecia,adormecíamos,adormecíeis,adormeciam adormecerei,adormecerás,adormecerá,adormeceremos,adormecereis,adormecerão
durmo,dormes,dorme,dormimos,dormis,dormem dormia,dormias,dormia,dormíamos,dormíeis,dormiam dormirei,dormirás,dormirá,dormiremos,dormireis,dormirão
fujo,foges,foge,fugimos,fugis,fogem fugia,fugias,fugia,fugíamos,fugíeis,fugiam fugirei,fugirás,fugirá,fugiremos,fugireis,fugirão
odeio,odeias,odeia,odiamos,odiais,odeiam odiava,odiavas,odiava,odiávamos,odiáveis,odiavam odiarei,odiarás,odiará,odiaremos,odiareis,odiarão
prometo,prometes,promete,prometemos,prometeis,prometem prometia,prometias,prometia,prometíamos,prometíeis,prometiam prometerei,prometerás,prometerá,prometeremos,prometereis,prometerão
abro,abres,abre,abrimos,abris,abrem abria,abrias,abria,abríamos,abríeis,abriam abrirei,abrirás,abrirá,abriremos,abrireis,abrirão
sei,sabes,sabe,sabemos,sabeis,sabem sabia,sabias,sabia,sabíamos,sabíeis,sabiam saberei,saberás,saberá,saberemos,sabereis,saberão
conheço,conheces,conhece,conhecemos,conheceis,conhecem conhecia,conhecias,conhecia,conhecíamos,conhecíeis,conheciam conhecerei,conhecerás,conhecerá,conheceremos,conhecereis,conhecerão
sirvo,serves,serve,servimos,servis,servem servia,servias,servia,servíamos,servíeis,serviam servirei,servirás,servirá,serviremos,servireis,servirão
valho,vales,vale,valemos,valeis,valem valia,valias,valia,valíamos,valíeis,valiam valerei,valerás,valerá,valeremos,valereis,valerão
venho,vens,vem,vimos,vindes,vêm vinha,vinhas,vinha,vínhamos,vínheis,vinham virei,virás,virá,viremos,vireis,virão
quero,queres,quer,queremos,quereis,querem queria,querias,queria,queríamos,queríeis,queriam quererei,quererás,quererá,quereremos,querereis,quererão
vejo,vês,vê,vemos,vedes,veem via,vias,via,víamos,víeis,viam verei,verás,verá,veremos,vereis,verão
termino,terminas,termina,terminamos,terminais,terminam terminava,terminavas,terminava,terminávamos,termináveis,terminavam terminarei,terminarás,terminará,terminaremos,terminareis,terminarão
incluo,incluis,inclui,incluímos,incluís,incluem incluía,incluías,incluía,incluíamos,incluíeis,incluíam incluirei,incluirás,incluirá,incluiremos,incluireis,incluirão
pago,pagas,paga,pagamos,pagais,pagam pagava,pagavas,pagava,pagávamos,pagáveis,pagavam pagarei,pagarás,pagará,pagaremos,pagareis,pagarão
